method;subMethod;minimumFrequency;beamWidth;beamDepth;firstGroupSize;firstGroupDescriptors;firstGroupScore;qualityScore;executionTime;
LabelWise;kBests;10;4;1;315;{1=0};0.06916416657328979;0.039375662866637885;0.1487028;
LabelWise;kFirsts;10;4;2;198;{0=1, 1=0};0.07013181713766088;0.06799106425520678;0.4298805;
LabelWise;kRandoms;10;4;2;315;{1=0};0.06916416657328979;0.05252383745289473;0.4274009;
LabelWise;kBests;10;4;2;198;{0=1, 1=0};0.07013181713766088;0.05647074512538836;0.292237;
LabelWise;kFirsts;10;4;3;198;{0=1, 1=0};0.07013181713766088;0.06799106425520678;4.6386766;
LabelWise;kRandoms;10;4;3;278;{3=29};0.05445098854312694;0.05007937674795898;2.6917978;
LabelWise;kBests;10;4;3;198;{0=1, 1=0};0.07013181713766088;0.05864444814433079;1.1630713;
LabelWise;kFirsts;10;4;4;198;{0=1, 1=0};0.07013181713766088;0.06799106425520678;6.7915294;
LabelWise;kRandoms;10;4;4;12;{2=194};0.04809258060588278;0.04690300853467072;4.3511954;
LabelWise;kBests;10;4;4;198;{0=1, 1=0};0.07013181713766088;0.05864444814433079;1.1915355;
LabelWise;kFirsts;10;4;5;198;{0=1, 1=0};0.07013181713766088;0.06799106425520678;6.7471976;
LabelWise;kRandoms;10;4;5;547;{6=14};0.04646623523790843;0.0446208862729327;1.4167872;
LabelWise;kBests;10;4;5;198;{0=1, 1=0};0.07013181713766088;0.05864444814433079;1.2189343;
LabelWise;kFirsts;10;5;1;2373;{0=0};0.06802011215258866;0.04422275776995881;0.0751794;
LabelWise;kRandoms;10;5;1;547;{6=14};0.04646623523790843;0.04002828326194505;1.223125;
LabelWise;kBests;10;5;1;315;{1=0};0.06916416657328979;0.03514725142691052;0.1523052;
LabelWise;kFirsts;10;5;2;198;{0=1, 1=0};0.07013181713766088;0.06356194019603699;0.5148559;
LabelWise;kRandoms;10;5;2;142;{7=2};0.045168554129403404;0.040000399349017265;0.6191684;
LabelWise;kBests;10;5;2;198;{0=1, 1=0};0.07013181713766088;0.053549857529354594;0.3346622;
LabelWise;kFirsts;10;5;3;198;{0=1, 1=0};0.07013181713766088;0.06356194019603699;4.9539208;
LabelWise;kRandoms;10;5;3;2373;{0=0};0.06802011215258866;0.06208421295782392;0.4315542;
LabelWise;kBests;10;5;3;198;{0=1, 1=0};0.07013181713766088;0.056104488465984204;1.3704798;
LabelWise;kFirsts;10;5;4;198;{0=1, 1=0};0.07013181713766088;0.06499270218860138;6.8865795;
LabelWise;kRandoms;10;5;4;315;{1=0};0.06916416657328979;0.05977700174378915;1.078549;
LabelWise;kBests;10;5;4;198;{0=1, 1=0};0.07013181713766088;0.056104488465984204;1.5331077;
LabelWise;kFirsts;10;5;5;198;{0=1, 1=0};0.07013181713766088;0.06559399378993883;7.6603442;
LabelWise;kRandoms;10;5;5;110;{9=0, 7=2};0.04766036180383786;0.04766036180383786;1.1585624;
LabelWise;kBests;10;5;5;198;{0=1, 1=0};0.07013181713766088;0.057916107469150255;2.2695089;
PairWise;kFirsts;10;1;1;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0554222;
PairWise;kRandoms;10;1;1;224;{6=0};0.023302265689964873;0.023302265689964873;0.8961122;
PairWise;kBests;10;1;1;315;{1=0};0.030323746637886454;0.030323746637886454;0.1274012;
PairWise;kFirsts;10;1;2;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0586826;
PairWise;kRandoms;10;1;2;224;{7=0};0.023302265689964873;0.023302265689964873;0.2522378;
PairWise;kBests;10;1;2;315;{1=0};0.030323746637886454;0.030323746637886454;0.1283754;
PairWise;kFirsts;10;1;3;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0591464;
PairWise;kRandoms;10;1;3;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0603247;
PairWise;kBests;10;1;3;315;{1=0};0.030323746637886454;0.030323746637886454;0.1397252;
PairWise;kFirsts;10;1;4;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0610076;
PairWise;kRandoms;10;1;4;1742;{5=1};0.01463884586618477;0.01463884586618477;0.0679854;
PairWise;kBests;10;1;4;315;{1=0};0.030323746637886454;0.030323746637886454;0.155561;
PairWise;kFirsts;10;1;5;2373;{0=0};0.027567054824003536;0.027567054824003536;0.0548096;
PairWise;kRandoms;10;1;5;1552;{8=1};0.01664456758286675;0.01664456758286675;0.055121;
PairWise;kBests;10;1;5;315;{1=0};0.030323746637886454;0.030323746637886454;0.1347959;
PairWise;kFirsts;10;2;1;2373;{0=0};0.027567054824003536;0.02688376605095074;0.0573429;
PairWise;kRandoms;10;2;1;1552;{8=1};0.01664456758286675;0.013905761043771583;0.0538686;
PairWise;kBests;10;2;1;315;{1=0};0.030323746637886454;0.025864458997469027;0.1281595;
PairWise;kFirsts;10;2;2;198;{0=1, 1=0};0.028645587810518063;0.028106321317260798;0.2947905;
PairWise;kRandoms;10;2;2;278;{5=1, 3=29};0.02399594337179012;0.02254285724773001;1.1386503;
PairWise;kBests;10;2;2;315;{1=0};0.030323746637886454;0.02948466722420226;0.2255082;
PairWise;kFirsts;10;2;3;198;{0=1, 1=0};0.028645587810518063;0.028106321317260798;0.3271429;
PairWise;kRandoms;10;2;3;198;{0=1, 1=0};0.028645587810518063;0.028106321317260798;0.3469966;
PairWise;kBests;10;2;3;315;{1=0};0.030323746637886454;0.02948466722420226;0.289432;
PairWise;kFirsts;10;2;4;198;{0=1, 1=0};0.028645587810518063;0.028106321317260798;0.2875576;
PairWise;kRandoms;10;2;4;99;{4=2, 0=0};0.02303022564835485;0.022417487207020526;0.297747;
PairWise;kBests;10;2;4;315;{1=0};0.030323746637886454;0.02948466722420226;0.2062144;
PairWise;kFirsts;10;2;5;198;{0=1, 1=0};0.028645587810518063;0.028106321317260798;0.3880333;
PairWise;kRandoms;10;2;5;278;{5=1, 3=29};0.02399594337179012;0.02254285724773001;1.0354663;
PairWise;kBests;10;2;5;315;{1=0};0.030323746637886454;0.02948466722420226;0.2144768;
PairWise;kFirsts;10;3;1;2373;{0=0};0.027567054824003536;0.017922510700633828;0.0991445;
PairWise;kRandoms;10;3;1;196;{4=2};0.021804748765686197;0.02004827070032919;0.2600758;
PairWise;kBests;10;3;1;315;{1=0};0.030323746637886454;0.023068170706674218;0.1387478;
PairWise;kFirsts;10;3;2;315;{1=0};0.030323746637886454;0.028845463090802687;0.4648108;
PairWise;kRandoms;10;3;2;315;{1=0};0.030323746637886454;0.027003807804004715;0.3783214;
